timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,syscalls_sys_exit_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred
2025-07-30T16:02:47.986452,17821,79241,60956621,3838037,3008,24221718,24221718,24484482626141,433871,142206,459753914,276706,3008,65,632704,1626,469781,15898
2025-07-30T16:02:53.110219,19686,87261,60956629,3929468,3766,24226428,24226428,24488321714099,432743,142232,459753970,276753,3766,64,633362,1525,469865,15471
2025-07-30T16:02:58.218192,17764,77779,60956640,3708439,3228,24231150,24231150,24492174592801,431692,142258,459754039,276802,3228,63,639668,1679,469958,15792
2025-07-30T16:03:03.333926,19346,107214,60956649,3717389,3194,24235828,24235828,24495894824399,441889,142283,459754095,276849,3194,65,637110,1625,470066,15659
2025-07-30T16:03:08.434863,17872,74525,60956657,3790093,3162,24240612,24240612,24499700620235,425578,142309,459754161,276897,3162,67,632928,1654,470088,15800
2025-07-30T16:03:13.568063,18951,85313,60956668,3678505,3727,24245294,24245294,24503483070407,429874,142335,459754251,276945,3727,61,636502,1701,470175,17012
2025-07-30T16:03:18.697748,18156,82569,60956676,3899823,3118,24250009,24250009,24507292290167,435501,142361,459754319,276992,3118,64,635420,1535,470259,15845
2025-07-30T16:03:23.819273,17223,77854,60956686,3868194,3467,24254689,24254689,24510966794460,438158,142387,459754389,277041,3467,68,634638,1614,470343,15553
2025-07-30T16:03:28.974320,17333,86233,60956696,3938804,3281,24259400,24259400,24514729376139,432941,142412,459754447,277088,3281,69,626738,1639,470435,15759
2025-07-30T16:03:34.112396,16963,90524,60956704,3724422,3043,24264093,24264093,24518513656266,447025,142438,459754514,277136,3043,70,619283,1565,470464,15979
2025-07-30T16:03:39.235671,18176,85893,60956714,3711053,3277,24268795,24268795,24522308646153,438079,142464,459754581,277184,3277,62,640655,1598,470556,15658
2025-07-30T16:03:44.365641,17223,80221,60956723,4454275,3144,24273495,24273495,24525979624009,449563,142490,459754644,277231,3144,67,634193,1507,470654,15986
2025-07-30T16:03:49.491810,17474,80230,60956731,3845378,3167,24277748,24277749,24529695009827,438776,142516,459754721,277279,3167,65,627347,1542,470795,15413
